session_id,username,remote_address,remote_port,status,timestamp,hour,day_of_week,username_enc,remote_address_enc,status_enc,anomaly,cluster
5923-2365,test,10.0.0.235,3389,connected,2025-07-02 05:11:38,5,2,8,151,0,1,1
5141-4550,guest,172.16.0.244,3389,failed,2025-07-02 11:18:38,11,2,3,415,2,1,2
4824-1325,guest,10.0.0.229,3389,failed,2025-07-08 21:58:11,21,1,3,144,2,1,2
8579-2200,user1,172.16.0.86,3389,disconnected,2025-07-09 09:13:45,9,2,9,493,1,1,1
8314-4266,bob,198.51.100.179,3389,disconnected,2025-07-26 13:47:04,13,5,2,850,1,1,0
1797-2070,bob,198.51.100.229,3389,disconnected,2025-07-17 19:01:47,19,3,2,906,1,1,0
8642-7864,john,192.168.1.87,3389,connected,2025-07-16 00:57:55,0,2,4,748,0,1,1
2795-9696,user1,198.51.100.192,3389,disconnected,2025-07-21 09:34:05,9,0,9,865,1,1,1
6936-8185,admin,203.0.113.12,3389,failed,2025-07-07 08:27:01,8,0,0,1039,2,1,1
6984-4762,alice,172.16.0.251,3389,connected,2025-07-21 10:41:01,10,0,1,423,0,1,1
6105-4251,guest,10.0.0.111,3389,failed,2025-07-18 09:29:05,9,4,3,14,2,1,2
5731-3585,root,10.0.0.186,3389,failed,2025-07-09 20:24:22,20,2,7,96,2,1,2
7381-2853,root,203.0.113.184,3389,connected,2025-07-12 22:04:47,22,5,7,1110,0,1,0
8846-7024,guest,10.0.0.86,3389,connected,2025-07-05 23:14:29,23,5,3,239,0,1,2
6414-5270,john,203.0.113.60,3389,disconnected,2025-07-14 20:11:42,20,0,4,1227,1,1,0
6931-3091,user1,10.0.0.148,3389,disconnected,2025-07-03 00:14:49,0,3,9,54,1,1,1
9349-7426,test,172.16.0.123,3389,connected,2025-07-27 09:19:15,9,6,8,281,0,1,2
7113-7717,guest,10.0.0.82,3389,failed,2025-07-12 22:14:21,22,5,3,235,2,1,2
6728-3332,test,198.51.100.101,3389,disconnected,2025-07-19 12:45:39,12,5,8,765,1,1,0
5425-9234,test,10.0.0.214,3389,disconnected,2025-07-19 00:36:25,0,5,8,128,1,1,1
8085-2744,john,10.0.0.247,3389,failed,2025-07-21 05:44:57,5,0,4,164,2,1,1
4214-7169,bob,10.0.0.172,3389,connected,2025-07-22 18:21:39,18,1,2,81,0,1,2
1527-9886,user1,172.16.0.163,3389,disconnected,2025-07-01 05:41:08,5,1,9,325,1,1,1
3465-6928,rdp_user,192.168.1.98,3389,failed,2025-07-22 01:33:14,1,1,5,760,2,1,1
5369-7436,guest,10.0.0.194,3389,failed,2025-07-01 00:35:17,0,1,3,105,2,1,1
1366-7082,john,203.0.113.137,3389,failed,2025-07-20 09:27:47,9,6,4,1058,2,1,0
6713-7323,bob,198.51.100.86,3389,failed,2025-07-20 05:45:11,5,6,2,1001,2,1,1
1375-4521,user1,198.51.100.49,3389,failed,2025-07-20 11:43:25,11,6,9,960,2,1,0
6014-5594,root,10.0.0.119,3389,connected,2025-07-25 21:17:38,21,4,7,22,0,1,2
3056-6960,alice,192.168.1.66,3389,connected,2025-07-03 05:44:40,5,3,1,725,0,1,1
7656-4637,user1,10.0.0.183,3389,connected,2025-07-17 21:28:25,21,3,9,93,0,1,2
8306-4925,root,192.168.1.30,3389,disconnected,2025-07-14 11:10:06,11,0,7,686,1,1,1
3340-5447,root,198.51.100.149,3389,failed,2025-07-13 01:23:39,1,6,7,817,2,1,1
2283-9454,alice,203.0.113.23,3389,failed,2025-07-27 02:29:15,2,6,1,1161,2,1,1
9814-6690,root,10.0.0.22,3389,failed,2025-07-24 13:55:34,13,3,7,134,2,1,2
5691-5316,root,198.51.100.199,3389,disconnected,2025-07-12 18:40:10,18,5,7,872,1,1,0
7661-6387,admin,203.0.113.119,3389,disconnected,2025-07-18 20:24:13,20,4,0,1038,1,1,0
6122-7121,user1,172.16.0.146,3389,failed,2025-07-07 18:41:36,18,0,9,306,2,1,2
4404-1920,user1,10.0.0.249,3389,disconnected,2025-07-23 02:05:31,2,2,9,166,1,1,1
3606-1158,admin,203.0.113.50,3389,connected,2025-07-16 09:33:51,9,2,0,1216,0,1,0
1786-9112,rdp_user,192.168.1.9,3389,connected,2025-07-03 13:30:26,13,3,5,751,0,1,0
8269-5462,remote,10.0.0.84,3389,failed,2025-07-23 20:34:41,20,2,6,237,2,1,2
1406-3733,test,203.0.113.20,3389,connected,2025-07-14 10:17:49,10,0,8,1128,0,1,0
8238-6770,root,198.51.100.169,3389,connected,2025-07-22 07:04:45,7,1,7,839,0,1,1
2192-5216,remote,10.0.0.214,3389,failed,2025-07-06 05:05:10,5,6,6,128,2,1,1
4262-3820,alice,10.0.0.112,3389,connected,2025-07-05 00:19:51,0,5,1,15,0,-1,1
8158-9752,bob,203.0.113.38,3389,disconnected,2025-07-30 05:26:25,5,2,2,1202,1,1,1
2604-6872,remote,198.51.100.142,3389,disconnected,2025-07-08 18:57:07,18,1,6,810,1,1,0
9461-1734,john,172.16.0.10,3389,disconnected,2025-07-24 12:22:34,12,3,4,255,1,1,2
7399-3239,rdp_user,203.0.113.105,3389,connected,2025-07-07 22:42:22,22,0,5,1023,0,1,0
4557-1193,bob,172.16.0.66,3389,failed,2025-07-29 21:10:27,21,1,2,471,2,1,2
4379-4192,user1,192.168.1.47,3389,connected,2025-07-07 16:34:03,16,0,9,704,0,1,2
8822-3269,user1,203.0.113.138,3389,connected,2025-07-29 15:57:21,15,1,9,1059,0,1,0
5016-6013,bob,198.51.100.168,3389,failed,2025-07-10 08:13:09,8,3,2,838,2,1,1
1084-4541,user1,198.51.100.173,3389,failed,2025-07-09 11:01:23,11,2,9,844,2,1,0
7825-4166,guest,192.168.1.100,3389,failed,2025-07-01 18:34:25,18,1,3,510,2,1,2
4218-6008,remote,198.51.100.81,3389,connected,2025-07-24 16:14:32,16,3,6,996,0,1,0
3057-3778,alice,198.51.100.100,3389,failed,2025-07-09 16:12:34,16,2,1,764,2,1,0
7213-3259,bob,172.16.0.74,3389,connected,2025-07-26 17:46:20,17,5,2,480,0,1,2
7894-4772,john,172.16.0.169,3389,connected,2025-07-26 10:14:00,10,5,4,331,0,1,2
3290-5569,rdp_user,10.0.0.27,3389,failed,2025-07-14 15:07:01,15,0,5,174,2,1,2
2433-8264,john,192.168.1.232,3389,connected,2025-07-10 04:54:17,4,3,4,656,0,1,1
1416-8703,john,10.0.0.250,3389,connected,2025-07-12 16:19:47,16,5,4,168,0,1,2
9671-8601,root,10.0.0.136,3389,failed,2025-07-13 22:51:26,22,6,7,41,2,-1,2
9751-8947,user1,203.0.113.175,3389,disconnected,2025-07-17 14:56:59,14,3,9,1100,1,1,0
1378-7131,alice,192.168.1.17,3389,disconnected,2025-07-02 21:24:02,21,2,1,586,1,1,2
2461-7166,john,10.0.0.211,3389,failed,2025-07-03 02:16:02,2,3,4,125,2,1,1
3235-1469,user1,172.16.0.187,3389,disconnected,2025-07-20 12:29:03,12,6,9,351,1,1,2
4661-2448,bob,192.168.1.201,3389,connected,2025-07-01 09:43:56,9,1,2,622,0,1,1
3050-2212,rdp_user,10.0.0.218,3389,disconnected,2025-07-10 13:41:18,13,3,5,132,1,1,2
3044-8013,rdp_user,172.16.0.201,3389,failed,2025-07-11 15:16:37,15,4,5,368,2,1,2
4624-5932,remote,192.168.1.73,3389,disconnected,2025-07-08 00:56:33,0,1,6,733,1,1,1
3223-6044,test,10.0.0.177,3389,failed,2025-07-24 16:35:47,16,3,8,86,2,1,2
1646-3822,user1,192.168.1.113,3389,connected,2025-07-30 01:28:12,1,2,9,524,0,1,1
4686-6605,bob,203.0.113.219,3389,connected,2025-07-30 23:24:10,23,2,2,1149,0,1,0
8264-7024,john,198.51.100.78,3389,connected,2025-07-17 01:55:44,1,3,4,992,0,1,1
9964-4658,bob,198.51.100.223,3389,failed,2025-07-14 11:55:53,11,0,2,900,2,1,0
5351-1721,guest,10.0.0.130,3389,disconnected,2025-07-19 19:41:38,19,5,3,35,1,1,2
4076-3085,root,203.0.113.229,3389,failed,2025-07-16 18:16:11,18,2,7,1160,2,1,0
3881-6985,root,172.16.0.213,3389,connected,2025-07-19 03:15:59,3,5,7,381,0,1,1
1543-6204,guest,172.16.0.236,3389,failed,2025-07-30 20:50:52,20,2,3,406,2,1,2
9225-7569,user1,192.168.1.192,3389,connected,2025-07-29 11:14:05,11,1,9,611,0,1,2
2989-6733,rdp_user,203.0.113.58,3389,disconnected,2025-07-16 18:11:50,18,2,5,1224,1,1,0
1745-9045,alice,198.51.100.143,3389,failed,2025-07-23 12:29:55,12,2,1,811,2,1,0
2839-5762,rdp_user,10.0.0.18,3389,disconnected,2025-07-20 13:00:33,13,6,5,89,1,1,2
7990-2047,test,203.0.113.119,3389,disconnected,2025-07-26 21:05:41,21,5,8,1038,1,1,0
7574-6049,test,198.51.100.10,3389,disconnected,2025-07-15 10:44:02,10,1,8,763,1,1,1
6210-6085,alice,203.0.113.161,3389,disconnected,2025-07-03 15:44:15,15,3,1,1085,1,1,0
1383-2131,user1,192.168.1.74,3389,disconnected,2025-07-26 01:04:59,1,5,9,734,1,1,1
9145-1921,user1,172.16.0.25,3389,failed,2025-07-23 22:09:30,22,2,9,421,2,1,2
9035-9519,john,172.16.0.221,3389,disconnected,2025-07-20 20:01:36,20,6,4,390,1,1,2
9049-5313,john,198.51.100.248,3389,failed,2025-07-04 14:51:13,14,4,4,927,2,1,0
5336-9311,admin,10.0.0.31,3389,connected,2025-07-15 23:25:28,23,1,0,179,0,-1,2
8519-4504,root,203.0.113.8,3389,connected,2025-07-19 21:46:47,21,5,7,1248,0,1,0
4405-9472,alice,203.0.113.251,3389,connected,2025-07-20 10:50:04,10,6,1,1185,0,1,0
9147-5650,remote,192.168.1.27,3389,connected,2025-07-11 04:22:11,4,4,6,682,0,1,1
3308-5913,test,10.0.0.83,3389,connected,2025-07-07 08:29:25,8,0,8,236,0,1,2
8916-6904,test,172.16.0.185,3389,connected,2025-07-08 23:21:36,23,1,8,349,0,1,2
4397-9728,guest,10.0.0.120,3389,disconnected,2025-07-01 11:43:27,11,1,3,24,1,1,2
5397-6769,remote,10.0.0.242,3389,failed,2025-07-13 11:01:32,11,6,6,159,2,1,2
4766-7345,rdp_user,172.16.0.226,3389,connected,2025-07-24 18:17:57,18,3,5,395,0,1,2
6465-7319,rdp_user,203.0.113.90,3389,connected,2025-07-16 12:05:08,12,2,5,1260,0,1,0
1101-8236,remote,172.16.0.130,3389,connected,2025-07-10 18:36:25,18,3,6,289,0,1,2
3438-2634,alice,192.168.1.87,3389,failed,2025-07-05 17:13:47,17,5,1,748,2,1,0
3246-9541,root,198.51.100.82,3389,connected,2025-07-19 01:12:54,1,5,7,997,0,1,1
8580-9064,guest,10.0.0.168,3389,failed,2025-07-05 18:58:27,18,5,3,76,2,1,2
6849-7676,remote,172.16.0.129,3389,connected,2025-07-04 00:36:31,0,4,6,287,0,1,1
7962-7251,guest,192.168.1.82,3389,failed,2025-07-10 08:04:44,8,3,3,743,2,1,1
6027-7753,remote,198.51.100.117,3389,connected,2025-07-27 17:02:04,17,6,6,782,0,1,0
6740-1008,test,10.0.0.5,3389,failed,2025-07-21 21:11:33,21,0,8,199,2,1,2
2298-8066,remote,192.168.1.44,3389,disconnected,2025-07-25 08:11:14,8,4,6,701,1,1,1
3110-5499,john,203.0.113.43,3389,connected,2025-07-24 07:56:56,7,3,4,1208,0,1,0
3366-7539,root,172.16.0.41,3389,failed,2025-07-17 20:15:19,20,3,7,444,2,1,2
9466-9647,bob,192.168.1.36,3389,connected,2025-07-28 11:34:32,11,0,2,692,0,1,1
4835-6028,alice,203.0.113.129,3389,connected,2025-07-16 10:17:53,10,2,1,1049,0,1,0
5189-7478,bob,172.16.0.246,3389,connected,2025-07-16 22:38:23,22,2,2,417,0,1,2
9011-1210,john,198.51.100.131,3389,disconnected,2025-07-03 10:42:59,10,3,4,798,1,1,1
3544-4900,bob,192.168.1.252,3389,connected,2025-07-19 13:26:14,13,5,2,678,0,1,0
3884-9122,remote,198.51.100.9,3389,disconnected,2025-07-14 21:46:07,21,0,6,1005,1,1,0
3422-1280,alice,10.0.0.140,3389,disconnected,2025-07-16 00:21:10,0,2,1,46,1,1,1
1540-6727,alice,10.0.0.213,3389,disconnected,2025-07-18 11:57:12,11,4,1,127,1,1,2
9936-6237,test,203.0.113.89,3389,connected,2025-07-26 20:49:42,20,5,8,1258,0,1,0
4826-5866,bob,192.168.1.148,3389,connected,2025-07-04 21:41:44,21,4,2,562,0,1,2
9467-3414,rdp_user,10.0.0.14,3389,connected,2025-07-06 20:59:28,20,6,5,45,0,1,2
2531-2934,john,203.0.113.209,3389,connected,2025-07-21 23:43:32,23,0,4,1138,0,1,0
3019-4356,remote,203.0.113.155,3389,disconnected,2025-07-26 21:36:30,21,5,6,1078,1,1,0
